matkul	mata kuliah
dipake	dipakai
bikin	buat
trick	trik
bosen	bosan
met	selamat
temennya	temannya
matpel	mata pelajaran
mapel	mata pelajaran
ngedi	mengubah
anjim	anjing
ajg	anjing
anjg	anjing
joempa	jumpa
love	suka
like	suka
broke	hancur
sesuwatu	sesuatu
banget	sangat
bedain	beda
dibutuhi	ndiperlukan
pr	pekerjaan rumah
peer	pekerjaan rumah
dede	adik
ma	ibu
emak	ibu
sd 	sekolah dasar
smp	sekolah menengah pertama
sma	sekolah menengah atas
smk	sekolah menengah kejuruan
hayukkkkk	ayo
hayukkkk	ayo
hayukkk	ayo
hayukk	ayo
hayuk	ayo
anget	hangat
tungguin	tunggu
nungguin	tunggu
yukkkkkk	ayo
yukkkkk	ayo
yukkkk	ayo
yukkk	ayo
yukk	ayo
setara	sama
terosssss	terus
terossss	terus
terosss	terus
teross	terus
teros	terus
mashok 	masuk
univ	universitas
hii	hai
hi	hai
ready	siap
ashiap	siap
nunggak	tunggak
dprd	daripada
terimakasih	terima kasih
on	di
this	ini
online	daring
onlen	daring
via	lewat
sgera	segera
abege	abg
skill	kemampuan
pjok	pojok
milik	punya
yuukk	ayo
tanggugjawab	tanggug jawab
day	hari
kangen	rindu
klasikal	klasik
hallo	hai
hello	hai
hellow	hai
yahhhhh	ah
yahhhh	ah
yahhh	ah
yahh	ah
yah	ah
classsss	kelas
classss	kelas
classs	kelas
class	kelas
by	dari
dak	tidak
bgi	bagi
apaaan	apa
apaan	apa
wkwk	tawa
kwkwk	tawa
wkwkwk	tawa
kwkwkwk	tawa
wkwkwkwk	tawa
kwkwkwkwk	tawa
haha	tawa
ahah	tawa
hahaha	tawa
ahahaha	tawa
hahahaha	tawa
ahahahaha	tawa
doongggg	dong
doonggg	dong
doongg	dong
doong	dong
dong	dong
dongg	dong
dongggg	dong
donggggg	dong
learning	belajar
kak	kakak
suwe	lama
or	atau
bagiin bagikan
santuy	santai
ngk	tidak
ngak	tidak
nolak	tolak
turu	tidur
ujug	tiba
turu	tidur
bego	bodoh
bu	ibu
bun	ibu
score	hasil
trnyata	ternyata
fikir	pikir
terfikir	terpikir
berfikir	berpikir
mikir	pikir
mikirin	pikirkan
ohiya	oh ya
kadang	sering
diomelin	dimarahi
bimbel	bimbingan belajar
pas	saat
saking	sangat
kangennya	rindu
dibolehin	diperbolehkan
deh	sudah
aaw	aw
awww	aw
gangikut	tidak ikut
ngebet	ingin
ngebeli	ingin beli
abisan	abis
thankyou	terima kasih
debest	terbaik
struggle	kerja keras
didptkan	didapatkan
mdr mengajar dari rumah
adekku	adik
adekmu	adik
adek	adik
gbsa	tidak bisa
gak	tidak
gabisa	tidak bisa
gakbisa	tidak bisa
gkbisa	tidak bisa
bljar	belajar
ngulang	ulang
ngapa	apa
ade	adik
adk	adik
story	cerita
ahelah	ah
ae	ah
ahh	ah
ahhh	ah
nak	akan
overnight	malam hari
crying	menangis
positivity	positif
traveler	penjelajah
maps	peta
map	peta
fighting	bertarung
skills	kemampuan
life	hidup
plss	tolong
full	penuh
keciil	kecil
beljar	belajar
disuruh	minta
dikasihpun	diberi
didrop	diminta
gapunya	tidak punya
dampingi	damping
nyampe	sampai
sm	sama
nugas	tugas
kesulita	kesulitan
